player_first_name, player_last_name
andrew, abbott
sandy, alcantara
chris, bassitt
shane, baz
brayan, bello
tanner, bibee
hayden, birdsong
taj, bradley
hunter, brown
kris, bubic
walker, buehler
sean, burke
noah, cameron
dylan, cease
slade, cecconi
aaron, civale
patrick, corbin
jacob, degrom
chase, dollander
bryce, elder
nathan, eovaldi
logan, evans
bailey, falter
erick, fedde
david, festa
jack, flaherty
zac, gallen
logan, gilbert
lucas, giolito
austin, gomber
colton, gordon
mackenzie, gore
sonny, gray
andrew, heaney
kyle, hendricks
clay, holmes
cade, horton
adrian, houser
shota, imanaga
jake, irvin
janson, junk
mitch, keller
merrill, kelly
clayton, kershaw
yusei, kikuchi
george, kirby
jack, kochanowicz
dean, kremer
eric, lauer
matthew, liberatore
zack, littell
nick, lodolo
michael, lorenzen
seth, lugo
jacob, misiorowski
frankie, montas
reese, olson
mitchell, parker
ryan, pepiot
freddy, peralta
david, peterson
brandon, pfaadt
nick, pivetta
drew, rasmussen
robbie, ray
kumar, rocker
carlos, rodon
landen, roupp
joe, ryan
max, scherzer
brady, singer
paul, skenes
shane, smith
mitch, spence
jeffrey, springs
tomoyuki, sugano
justin, verlander
brandon, walter
will, warren
simeon, woods
yoshinobu, yamamoto
brandon, young
